SubjectID,researchdate
1585271561337036442,2025-06-01
1954574044080790082,2025-06-01
2963380814038309056,2025-06-01
153131677170000130,2025-06-01
8863090172069209728,2025-06-01
6629304165209876947,2025-06-01
5332267584642577320,2025-06-01
504410218347672841,2025-06-01
1306806058556077568,2025-06-01
2017619186364528145,2025-06-01
801778764757595008,2025-06-01
1585271561336701604,2025-06-01
4827866083748768960,2025-06-01
1585271561337053954,2025-06-01
1585271561336993878,2025-06-01
5188154264055125152,2025-06-01
801651201304655618,2025-06-01
1585271561336992295,2025-06-01
5269223972552621314,2025-06-01
1008812355581841250,2025-06-01
1585271561336967196,2025-06-01
1585271561336662224,2025-06-01
1585271561336704203,2025-06-01
5188154264055124614,2025-06-01
1585271561336695864,2025-06-01
1585271561337020096,2025-06-01
792639191900656642,2025-06-01
1585271561337044238,2025-06-01
1585271561336701354,2025-06-01
8791033531835245126,2025-06-01
3098483602160404120,2025-06-01
801649609405801345,2025-06-01
1585271561336804690,2025-06-01
6196960147642318811,2025-06-01
6341074104264852368,2025-06-01
2449965110012013004,2025-06-01
8800241640403122304,2025-06-01
4404534281793752896,2025-06-01
6052843423965704733,2025-06-01
2233791780476071135,2025-06-01
2243906939957421696,2025-06-01
4908934708435070415,2025-06-02
2305848854728059859,2025-06-02
1585271561337040423,2025-06-02
7358893773874615425,2025-06-02
4692763109658533120,2025-06-02
4107288419676846144,2025-06-02
2386919060872888085,2025-06-02
6566259520606639428,2025-06-02
1585271561336924298,2025-06-02
1585271561336763462,2025-06-02
1306806058556077568,2025-06-02
5034735007817,2025-06-02
3036830120599159360,2025-06-02
6566258848326415630,2025-06-02
2098690509497977664,2025-06-02
6629304165209877741,2025-06-02
2603089841281918144,2025-06-02
2458979132178470400,2025-06-02
225608272464491072,2025-06-02
7358893580340062978,2025-06-02
1585271561337006097,2025-06-02
4692759896965140290,2025-06-02
2963380814038313473,2025-06-02
1585271561336940537,2025-06-02
4332475200292253570,2025-06-02
1729388141130525804,2025-06-02
6052843423965704462,2025-06-02
1585271561336876209,2025-06-02
2747206538927418458,2025-06-02
9007204635750639287,2025-06-02
4548647573216187331,2025-06-02
7000007313155770752,2025-06-02
2098691289167691008,2025-06-02
2891322136194116241,2025-06-02
6052843423965704521,2025-06-02
3819059877809584384,2025-06-02
4692763109658531264,2025-06-02
2449965110012012815,2025-06-02
2243906939957421696,2025-06-02
6495489739328867520,2025-06-02
5764614858704116186,2025-06-02
1729388589032331985,2025-06-03
1585271561336985866,2025-06-03
6629304165209876323,2025-06-03
4548647573216187331,2025-06-03
5629511854270500800,2025-06-03
5413338585548960449,2025-06-03
3467783911479848960,2025-06-03
8791033531611703570,2025-06-03
2233792637557833088,2025-06-03
3323668325271603393,2025-06-03
1306806058556077568,2025-06-03
8214571128982578588,2025-06-03
1585271561336856866,2025-06-03
8935148650840696065,2025-06-03
8935148960500688000,2025-06-03
8502803222098581698,2025-06-03
5260212023980595118,2025-06-03
2098689923357000896,2025-06-03
1585271561337022332,2025-06-03
9088276141375648576,2025-06-03
8872103851395035073,2025-06-03
1738403280270865088,2025-06-03
4692759896965140290,2025-06-03
3828751370547352448,2025-06-03
2882308749924541139,2025-06-03
5044039385649898752,2025-06-03
4107288419676846200,2025-06-03
1513216533926154380,2025-06-03
5034735007916,2025-06-03
3251611007714857603,2025-06-03
5034735006047,2025-06-03
1954574044080790082,2025-06-03
9007204939872883344,2025-06-03
8430746051069922433,2025-06-03
3467784016540726080,2025-06-03
5764614858704116186,2025-06-03
1729388589032331985,2025-06-04
6133915001473537536,2025-06-04
5332267584642577300,2025-06-04
1585271561337014587,2025-06-04
7719180632607324117,2025-06-04
3170542200554773569,2025-06-04
1585271561336985866,2025-06-04
2954367870147815893,2025-06-04
6998872468341592896,2025-06-04
5260209176225692826,2025-06-04
1585271561336678840,2025-06-04
6052843423965704118,2025-06-04
6783798661000274688,2025-06-04
801651201304653181,2025-06-04
3602887775831007710,2025-06-04
2233792554604319486,2025-06-04
2017619693541360654,2025-06-04
4188358369920040000,2025-06-04
1585271561336967196,2025-06-04
6926548043751394241,2025-06-04
4692759896965140290,2025-06-04
1954574044080790082,2025-06-04
7430951976169582016,2025-06-04
6341074104264852173,2025-06-04
5269222877690299204,2025-06-04
5332267584642577320,2025-06-04
6196961000847502784,2025-06-04
9016217269999190245,2025-06-04
936754186446804364,2025-06-04
2458979132178470400,2025-06-04
5188154048402067650,2025-06-04
7214779111113443649,2025-06-04
6566258848326421577,2025-06-04
1585271561336762631,2025-06-04
1585271561337030905,2025-06-04
6052843423965704521,2025-06-04
801651201304658768,2025-06-04
1585271561336930630,2025-06-04
6341074104264851725,2025-06-04
1585271561336647429,2025-06-04
1513216560753935319,2025-06-04
5197165587782267328,2025-06-04
5764614858704116186,2025-06-04
3900967167078630144,2025-06-04
648524241621891017,2025-06-05
1729388589032331985,2025-06-05
1585271561336841328,2025-06-05
1954573939019829505,2025-06-05
5053050012633474968,2025-06-05
6196960147642318811,2025-06-05
504410216844887574,2025-06-05
1585271561336730962,2025-06-05
5845683436459331784,2025-06-05
1585271561336652629,2025-06-05
5764614858704116186,2025-06-05
2305848744076623408,2025-06-05
6701361217345430046,2025-06-05
1513216560753935319,2025-06-05
4188358369920039902,2025-06-05
8367700322646866753,2025-06-05
3819059905448884510,2025-06-05
8935148960500687426,2025-06-05
1585271561337053502,2025-06-05
1523321506755270400,2025-06-05
7710168402041500482,2025-06-05
1585271561336756601,2025-06-05
1585271561336967196,2025-06-05
1450170178027016605,2025-06-05
1739855415287684224,2025-06-05
5269222877690299204,2025-06-05
1585271561337032322,2025-06-05
2738194092690289034,2025-06-05
360295029579446279,2025-06-05
6052843423965704179,2025-06-05
1585271561336997124,2025-06-05
1585271561337012619,2025-06-05
1729390231323623488,2025-06-05
6701361217345430749,2025-06-05
2305848744076623288,2025-06-05
2882311520272393920,2025-06-05
2305848744076623212,2025-06-05
875418803981039424,2025-06-05
5197165587782267328,2025-06-05
5917742103239452545,2025-06-05
1729388589032331985,2025-06-06
4107288419676846144,2025-06-06
1954573939019829505,2025-06-06
504410216844887574,2025-06-06
3467784171369747138,2025-06-06
2233792637557835906,2025-06-06
2377906299442911135,2025-06-06
3035439740714155136,2025-06-06
1585271561336656962,2025-06-06
1585271561337035030,2025-06-06
1954572816503618427,2025-06-06
2305848744076623408,2025-06-06
1585271561336987845,2025-06-06
4188358369920039902,2025-06-06
1585271561336658267,2025-06-06
1306054984423598366,2025-06-06
2233802556162053506,2025-06-06
7782225885427882465,2025-06-06
1585271561336883308,2025-06-06
6341074104264854111,2025-06-06
1585271561336967196,2025-06-06
1954574044080790082,2025-06-06
1585271561336801038,2025-06-06
8214571128982578588,2025-06-06
1585271561336879976,2025-06-06
2017618760585040015,2025-06-06
7061651277740080000,2025-06-06
1585271561336804690,2025-06-06
1585271561336836994,2025-06-06
1585271561336903348,2025-06-06
5413337214202460180,2025-06-06
153134419846811585,2025-06-06
1585271561337014587,2025-06-06
6052843423965704618,2025-06-06
2305848744076623212,2025-06-06
4188358933945245264,2025-06-06
5764614858704116186,2025-06-06
1585271561337034979,2025-06-07
2891323557308657986,2025-06-07
1450169730127850278,2025-06-07
9019569075743616,2025-06-07
1585271561336985866,2025-06-07
1882516134850618573,2025-06-07
7070663956211116160,2025-06-07
720583759961124417,2025-06-07
8800042911955348868,2025-06-07
7854284809238590800,2025-06-07
1585271561336660410,2025-06-07
4908937353777220800,2025-06-07
1729388141130525804,2025-06-07
8935148650840696384,2025-06-07
1585271561336824640,2025-06-07
8800699037240317312,2025-06-07
8502804186997688729,2025-06-07
3035438502080357056,2025-06-07
7214779111113442240,2025-06-07
1585271561337051847,2025-06-07
6052843423965704632,2025-06-07
1161942649620631617,2025-06-07
1585271561337028331,2025-06-07
1585271561336968320,2025-06-07
1585271561336659765,2025-06-07
1297043030334348571,2025-06-07
2604256311380796096,2025-06-07
1585274794412651714,2025-06-07
6629304165209879023,2025-06-07
513944013765524672,2025-06-07
2449965110012013066,2025-06-07
1224985242758498140,2025-06-07
1585271561336744637,2025-06-07
1585271561337044540,2025-06-07
5764614858704116186,2025-06-07
3098483602160404120,2025-06-08
1729388589032331985,2025-06-08
1585271561336642216,2025-06-08
1954573939019829505,2025-06-08
1585271561337012619,2025-06-08
225335593580788480,2025-06-08
1451738962565949888,2025-06-08
2099210640192620416,2025-06-08
1585271561337034979,2025-06-08
6998872468341592896,2025-06-08
8430746051069922433,2025-06-08
1513216560753935319,2025-06-08
8502804186997688729,2025-06-08
1729388141130525804,2025-06-08
7214778110251697795,2025-06-08
6341074104264852173,2025-06-08
1585271561336627008,2025-06-08
3251610565345318400,2025-06-08
6341072931965191817,2025-06-08
7782225973962771416,2025-06-08
226944985535436544,2025-06-08
1585271561336719051,2025-06-08
5629511854270500800,2025-06-08
1233998612444272577,2025-06-08
792639191900656782,2025-06-08
5269222877690299204,2025-06-08
1585271561336972954,2025-06-08
1585271561336938692,2025-06-08
7358893773874612354,2025-06-08
4611691438142762196,2025-06-08
6629304165209879023,2025-06-08
7791241212634245504,2025-06-08
5980787364025193058,2025-06-08
1585271561336929440,2025-06-08
6422145316800824194,2025-06-08
1585271561336862731,2025-06-08
1306357457811926976,2025-06-08
1585271561337037325,2025-06-08
1585271561336654937,2025-06-08
2305848744076622427,2025-06-08
1585271561337048914,2025-06-08
2738194092690289674,2025-06-08
8872103851395035073,2025-06-08
5764614858704116186,2025-06-08
1729388589032331985,2025-06-09
1954573939019829505,2025-06-09
1657332156207574273,2025-06-09
5557453419725369300,2025-06-09
1585271561336938924,2025-06-09
3242598857385037365,2025-06-09
1585271561336724594,2025-06-09
6629304165209878501,2025-06-09
1585271561336985149,2025-06-09
1585271561336628314,2025-06-09
6854489498627102104,2025-06-09
1585271561336710529,2025-06-09
1585271561336663672,2025-06-09
6629304165209876758,2025-06-09
936756002501340111,2025-06-09
288237434123658381,2025-06-09
1585271561337021433,2025-06-09
6341074104264852173,2025-06-09
1585271561336862511,2025-06-09
3026426929536380033,2025-06-09
5125154805357923008,2025-06-09
7782225973962771416,2025-06-09
7430951296027745216,2025-06-09
2963379536701494156,2025-06-09
5764614858704116186,2025-06-09
6629304165209877148,2025-06-09
1585271561336584729,2025-06-09
6196960147642319177,2025-06-09
1585271561337000450,2025-06-09
1585271561336807521,2025-06-09
5332267584642577440,2025-06-09
1585271561337041337,2025-06-09
5034735006870,2025-06-09
3891115984388077834,2025-06-09
4827866083748751168,2025-06-09
8502803222098581352,2025-06-09
2810253572328673729,2025-06-09
2738194092690289729,2025-06-09
1585271561337051825,2025-06-09
8295642745197945921,2025-06-09
792639191900656642,2025-06-09
1585271561337036739,2025-06-09
801651201304652617,2025-06-09
1585271561336963868,2025-06-09
1369101741337282579,2025-06-09
4262170472843736513,2025-06-09
8801587602994100992,2025-06-10
6629304165209877966,2025-06-10
4476589022556912544,2025-06-10
1585271561336999721,2025-06-10
6629304165209878014,2025-06-10
8791033531835245126,2025-06-10
5260209347646343066,2025-06-10
3242598857385037050,2025-06-10
1883240920244414016,2025-06-10
6629304165209877527,2025-06-10
1585271561336642047,2025-06-10
2305848744076623408,2025-06-10
6341074104264852718,2025-06-10
5548440520018748241,2025-06-10
1585274468154760705,2025-06-10
2891322904814630464,2025-06-10
3323668983293407040,2025-06-10
1585271561336917724,2025-06-10
1091468501617997632,2025-06-10
1585271561337047893,2025-06-10
5764614858704116186,2025-06-10
8935147025123496246,2025-06-10
7782227771083419777,2025-06-10
1585271561337012029,2025-06-10
1585271561336718351,2025-06-10
3891115984388077834,2025-06-10
3035438258777611137,2025-06-10
3107497533813582784,2025-06-10
1513216533926154380,2025-06-10
1585271561336696112,2025-06-10
9018347033772499,2025-06-10
2377907737160337217,2025-06-10
1585271561336762631,2025-06-10
7782225885427882784,2025-06-10
6998605980629640515,2025-06-10
6341074104264852173,2025-06-10
1585271561336998355,2025-06-10
5620498938025644488,2025-06-10
792639191900656652,2025-06-10
1585271561337023105,2025-06-10
3685463324911442112,2025-06-10
7926341023773842837,2025-06-11
1161942649620630720,2025-06-11
6494202667536140096,2025-06-11
874855854027596352,2025-06-11
1585271561337020491,2025-06-11
4404532838566919552,2025-06-11
6052843423965704248,2025-06-11
1585271561336667188,2025-06-11
6998872468341592896,2025-06-11
1729388589032331985,2025-06-11
6052843423965704462,2025-06-11
6494202711772197954,2025-06-11
7791239100327164288,2025-06-11
5034735007817,2025-06-11
1585271561336807123,2025-06-11
1585271561336959874,2025-06-11
513442094523561152,2025-06-11
5476384795035394075,2025-06-11
1585271561336992295,2025-06-11
6341074104264853553,2025-06-11
2963380775332161089,2025-06-11
1585271561337053502,2025-06-11
1450167894921152320,2025-06-11
7430950931072303937,2025-06-11
5629511959330151299,2025-06-11
1585271561336719294,2025-06-11
5764614858704116186,2025-06-11
4692759896965140290,2025-06-11
6629304165209878669,2025-06-11
7998397832613031942,2025-06-11
6701361217345429528,2025-06-11
1585271561336925889,2025-06-11
8583871661534034304,2025-06-11
4107288419676846176,2025-06-11
720583759961124417,2025-06-11
1080870969472001738,2025-06-11
1739916987938841344,2025-06-11
6052843423965704735,2025-06-11
2819265587255210048,2025-06-11
2963381151347023744,2025-06-11
4908937353777220800,2025-06-11
1585271561336920304,2025-06-11
2305848744076623178,2025-06-11
2242805481916280257,2025-06-11
1585271561337044540,2025-06-11
1585271561337032285,2025-06-12
720583759961119936,2025-06-12
8791033816660297281,2025-06-12
1729388589032331985,2025-06-12
7575065682304820290,2025-06-12
1585271561336969923,2025-06-12
5629511306838413568,2025-06-12
1585271561336642047,2025-06-12
7286835588169424727,2025-06-12
6052843423965704109,2025-06-12
513442094523561152,2025-06-12
1738402130114508865,2025-06-12
6341076387978128492,2025-06-12
6350087523696082048,2025-06-12
3098483602160404120,2025-06-12
1306054984423598601,2025-06-12
4899922101829706052,2025-06-12
3828751370547352448,2025-06-12
1297043030334348571,2025-06-12
432351254888982875,2025-06-12
1585271561336820883,2025-06-12
6566258848326421577,2025-06-12
5044039385649898752,2025-06-12
1585274296737055532,2025-06-12
945766992112357711,2025-06-12
1585271561336681215,2025-06-12
1585271561337012029,2025-06-12
5413337214202463640,2025-06-12
2738194092690289675,2025-06-12
9312040921243712,2025-06-12
1585271561337003848,2025-06-12
2748336010956710272,2025-06-12
1585271561337029424,2025-06-12
792639191900656750,2025-06-12
360295281038590396,2025-06-12
513421936608555392,2025-06-12
1585271561336886096,2025-06-12
441361688982367554,2025-06-13
1585271561337036442,2025-06-13
5629511959330150400,2025-06-13
1297043030334348571,2025-06-13
6278029365639505419,2025-06-13
6701361217345428237,2025-06-13
7277824762114538240,2025-06-13
1810455936995143616,2025-06-13
6052843423965704368,2025-06-13
6052843423965704521,2025-06-13
5629511450608996289,2025-06-13
8295642745197945921,2025-06-13
7286835588169424727,2025-06-13
369305952269615221,2025-06-13
3467784160333701762,2025-06-13
5701568878757408000,2025-06-13
2954367870147815627,2025-06-13
1585271561337042096,2025-06-13
3901257438148375808,2025-06-13
6557248561836698767,2025-06-13
5270923432208053120,2025-06-13
4899922101829706304,2025-06-13
1585271561336741967,2025-06-13
3098483602160404120,2025-06-13
6341074104264849939,2025-06-13
1513216560753935319,2025-06-13
1585271561336993873,2025-06-13
2748336010956710272,2025-06-13
6206643039465930496,2025-06-13
1585271561337002455,2025-06-13
1585271561337033691,2025-06-13
7998400403885849124,2025-06-13
4764820692635344322,2025-06-13
3035438529728160640,2025-06-13
1513216533926154380,2025-06-13
1585271561337040209,2025-06-13
1585271561336718380,2025-06-13
5332267584642577368,2025-06-13
4827866868944797761,2025-06-13
1585271561336876209,2025-06-13
1585271561337044540,2025-06-13
4611694214010660315,2025-06-13
576465923186619466,2025-06-13
648524241621891017,2025-06-14
1585271561336622143,2025-06-14
1882516134850618573,2025-06-14
297251194917919616,2025-06-14
3467783037797019533,2025-06-14
4764817325728901697,2025-06-14
576467810957597744,2025-06-14
441361688982367554,2025-06-14
2738194092690289029,2025-06-14
7647124459683662529,2025-06-14
1585271561336731388,2025-06-14
6206643039465930496,2025-06-14
8935147025123495532,2025-06-14
369305952269615221,2025-06-14
1585271561337026805,2025-06-14
6629304165209878726,2025-06-14
8718974580309866977,2025-06-14
1585271561337053502,2025-06-14
2531035327227284609,2025-06-14
7782225973962771416,2025-06-14
5764614858704116186,2025-06-14
3819059496266608833,2025-06-14
2748907845476333312,2025-06-14
3107495819638266880,2025-06-14
1513216560753935319,2025-06-14
9312040921243712,2025-06-14
6557248456781430976,2025-06-14
1585271561336627208,2025-06-14
1585271561336624659,2025-06-14
1513216533926154380,2025-06-14
1378112445748263814,2025-06-14
6629304165209879088,2025-06-14
360295281038589837,2025-06-14
1954573939019829505,2025-06-14
1162022737893971328,2025-06-14
7061651277740082625,2025-06-14
3242598926442263232,2025-06-14
8502804186997688729,2025-06-14
6341074104264855981,2025-06-14
6629304165209877823,2025-06-14
6701361217345430577,2025-06-14
585481725913663553,2025-06-14
6341075541957838272,2025-06-14
3251612677654324864,2025-06-15
6701361217345430741,2025-06-15
2819265432429086788,2025-06-15
1585271561336614331,2025-06-15
4621640328968043265,2025-06-15
2738194092690289029,2025-06-15
1729388589032331985,2025-06-15
8080580897359013440,2025-06-15
5629511854270500800,2025-06-15
8935147025123495532,2025-06-15
7719181224280449171,2025-06-15
3611898983435468929,2025-06-15
8727990074356780608,2025-06-15
4323463152188622601,2025-06-15
1585271561336634007,2025-06-15
4764817325728907136,2025-06-15
875138280095426112,2025-06-15
504410762191816834,2025-06-15
1585271561337046081,2025-06-15
1585271561336660303,2025-06-15
2963380814038309056,2025-06-15
9007204635750639324,2025-06-15
1585271561336888673,2025-06-15
5053051190437830144,2025-06-15
1585271561337020096,2025-06-15
4611694214010660315,2025-06-15
792640588831739528,2025-06-15
7935353481075752017,2025-06-15
2531033574337164671,2025-06-15
5548440785500526684,2025-06-15
1513216533926154380,2025-06-15
7286836340193212928,2025-06-15
6629304165209877317,2025-06-15
1585271561336777509,2025-06-15
6341074104264850600,2025-06-15
7863296014223308827,2025-06-15
5629511306838413568,2025-06-15
4116489126782834816,2025-06-15
3891117339130576153,2025-06-15
5116096277414531330,2025-06-15
1585271561336744637,2025-06-15
1585271561336631758,2025-06-15
7566064520488142175,2025-06-16
6629304165209877571,2025-06-16
441939118833085120,2025-06-16
1585271561337014587,2025-06-16
8070458324181978690,2025-06-16
4611691438142762186,2025-06-16
1585271561336833490,2025-06-16
288237434123658381,2025-06-16
5269222877690299218,2025-06-16
1954572816503618427,2025-06-16
1585271561336628314,2025-06-16
4261580498707044544,2025-06-16
369305952269615221,2025-06-16
1585271561336969686,2025-06-16
6422145316800824449,2025-06-16
2882320808503180353,2025-06-16
792639191900656642,2025-06-16
3314654999816724446,2025-06-16
1585271561336654772,2025-06-16
1585271561337010554,2025-06-16
1585271561337036299,2025-06-16
1585271561336736404,2025-06-16
6341074104264852773,2025-06-16
1585271561336836994,2025-06-16
1585271561337020096,2025-06-16
6710375698481685377,2025-06-16
1585271561336876209,2025-06-16
6413133404652387490,2025-06-16
1441159783276051102,2025-06-16
1585271561336774318,2025-06-16
2594080657514832640,2025-06-16
5620498938025644488,2025-06-16
8935147025123497195,2025-06-16
6629304165209877384,2025-06-16
7719183762365542209,2025-06-16
1585271561336586966,2025-06-16
6052843385257647299,2025-06-16
576465923186619466,2025-06-16
5197166057798798400,2025-06-17
1585271561336724594,2025-06-17
2748424060360082112,2025-06-17
360293373317682235,2025-06-17
6061857247078127296,2025-06-17
5701568878757408000,2025-06-17
6205969366230462656,2025-06-17
7998400403885850012,2025-06-17
5332267584642577435,2025-06-17
7926341023773842770,2025-06-17
8791033531835244806,2025-06-17
7638112022221129555,2025-06-17
5414405334764342208,2025-06-17
5034735007627,2025-06-17
8872102557463947648,2025-06-17
7719181970776511680,2025-06-17
875163993763721408,2025-06-17
5034735007817,2025-06-17
7286835588169424727,2025-06-17
2738194092690289085,2025-06-17
7070664730355258752,2025-06-17
1585271561336746677,2025-06-17
8295642745197943488,2025-06-17
6629304165209877571,2025-06-17
1523321506755270400,2025-06-17
8502804186997688729,2025-06-17
3819059905448884510,2025-06-17
1585271561336993873,2025-06-17
1585271561337003723,2025-06-17
2233791780476071135,2025-06-17
1585271561336736404,2025-06-17
3828751370547352448,2025-06-17
5034735006795,2025-06-17
4980991965168188033,2025-06-17
1585271561336642216,2025-06-17
1585271561336669657,2025-06-17
2819264099792802147,2025-06-17
1585271561336650970,2025-06-17
1585271561336592787,2025-06-17
792640928209095042,2025-06-17
1450169730127850278,2025-06-17
9089624774756751424,2025-06-17
1585271561336973230,2025-06-17
1585271561336790289,2025-06-17
7023315206338,2025-06-17
1882713154663059137,2025-06-17
6052843423965704511,2025-06-18
8872102557463947648,2025-06-18
3036601422180555840,2025-06-18
7647124459683660480,2025-06-18
1234000039061637954,2025-06-18
1585271561336983258,2025-06-18
1585271561337037325,2025-06-18
1585271561337011630,2025-06-18
2738194092690289787,2025-06-18
1585271561336946807,2025-06-18
6052843423965704632,2025-06-18
6701361217345430067,2025-06-18
1585271561336695605,2025-06-18
1585271561336904255,2025-06-18
1513217089771005832,2025-06-18
1585271561336969923,2025-06-18
360293909705804778,2025-06-18
3963175104584408256,2025-06-18
1585271561337035273,2025-06-18
1585271561337001691,2025-06-18
1585271561336856398,2025-06-18
4188358369920040000,2025-06-18
6052843423965704462,2025-06-18
6566260438521655683,2025-06-18
4332475200292245888,2025-06-18
1585271561337010551,2025-06-18
225192423096543809,2025-06-18
1585271561336625393,2025-06-18
2098691289167688961,2025-06-18
504410762191814656,2025-06-18
7791241212634246529,2025-06-18
2882310110228255683,2025-06-18
441361688982367554,2025-06-18
6629304165209876826,2025-06-18
6133914376630410496,2025-06-18
1513216533926154380,2025-06-18
1585271561336660303,2025-06-18
1450168049750223233,2025-06-18
5269222910863619076,2025-06-18
6566260261574333184,2025-06-18
3386713974243437648,2025-06-18
1585271561337043451,2025-06-18
7421937771504245301,2025-06-18
6557246880847484935,2025-06-18
2315489650033962432,2025-06-18
4620705515620634944,2025-06-19
3891115984388077661,2025-06-19
5332269640145455234,2025-06-19
1585274468154760783,2025-06-19
1585271561336654772,2025-06-19
6052843423965704632,2025-06-19
1810455936995143616,2025-06-19
1585271561336997124,2025-06-19
6196958805535046283,2025-06-19
1873514873511094208,2025-06-19
1585271561337028235,2025-06-19
1585271561337001691,2025-06-19
8367698818594834445,2025-06-19
1585271561337040624,2025-06-19
801653064789417922,2025-06-19
875138280095426112,2025-06-19
1585271561336931686,2025-06-19
2377908555547499394,2025-06-19
7782225973962771416,2025-06-19
1585271561336878328,2025-06-19
1513216560753935319,2025-06-19
5413337214202459316,2025-06-19
7277824441388353957,2025-06-19
7719183485888315392,2025-06-19
1585271561336931680,2025-06-19
8224185895451025024,2025-06-19
2305850098877774871,2025-06-19
6341074104264852220,2025-06-19
1306055321721055829,2025-06-19
1585271561337012029,2025-06-19
1585271561337011630,2025-06-19
1585271561336660303,2025-06-19
9079264347632290320,2025-06-19
3891115984388077709,2025-06-19
8214571128982578588,2025-06-19
3035436765780351298,2025-06-19
1585271561337041337,2025-06-19
1585271561336969923,2025-06-19
